track_id,track_name,track_artist,playlist_genre,playlist_subgenre,year,track_popularity,danceability,energy,valence,tempo,loudness,speechiness,acousticness,instrumentalness,liveness,duration_ms,mood_category,lyric_sentiment,language
720IIHD0NvNfDURgWSB3rP,Say You Won't Let Go - Luca Schreiner Remix,James Arthur,edm,pop edm,2016,54,0.764,0.809,0.586,105.002,-4.256,0.111,0.125,2.02e-06,0.0678,204707,Intense / Dark,0.21800268696820416,en
722N7OOvzhtyUEimkeu91r,Strangers - Jonas Blue Remix,Sigrid,edm,pop edm,2018,46,0.716,0.867,0.472,115.023,-4.29,0.0325,0.0704,0.000984,0.0745,192323,Intense / Dark,0.34707341269841274,en
722tgOgdIbNe3BEyLnejw4,Black Skinhead,Kanye West,rap,southern hip hop,2013,75,0.7659999999999999,0.821,0.299,130.07299999999998,-6.124,0.268,0.00112,0.0,0.168,188013,Intense / Dark,-0.10170940170940172,en
7257drAN3eTtaaUUPw95B3,Big Log - 2006 Remaster,Robert Plant,rock,album rock,2007,57,0.556,0.5920000000000001,0.675,180.645,-8.519,0.0287,0.315,0.00334,0.196,306453,Calm / Positive,0.2563492063492064,en
7258lBUFSE45SJmxoJmfYk,Tired - Lemarroy Remix,Alan Walker,edm,pop edm,2017,27,0.523,0.8170000000000001,0.456,137.963,-3.821,0.0884,0.0669,0.0,0.175,196733,Intense / Dark,0.1957142857142857,en
726eK39u0CnsEGAcA3GYaF,Uno,John Christian,edm,big room,2019,52,0.792,0.8859999999999999,0.0985,128.017,-4.274,0.0882,0.00405,0.61,0.0648,185625,Intense / Dark,0.0,en
72a9JWKqJ8SGo0OdyCS12P,Personal Jesus,Depeche Mode,pop,electropop,2006,56,0.687,0.852,0.7659999999999999,129.981,-5.537999999999999,0.0351,0.104,0.00866,0.0596,225040,Happy / Energetic,0.2714285714285714,en
72ahyckBJfTigJCFCviVN7,Don't Bring Me Down,Electric Light Orchestra,pop,post-teen pop,1979,70,0.638,0.867,0.805,115.692,-6.468999999999999,0.0331,0.144,0.000733,0.0846,243373,Happy / Energetic,-0.013533834586466153,en
72b0ANL1ZiV71OiZRs0Lny,You Say,Lauren Daigle,pop,electropop,2018,21,0.494,0.637,0.1,147.924,-6.381,0.0333,0.669,0.0,0.0882,274693,Intense / Dark,0.14234523809523814,en
72by3Re4C3eVEBXvsUo0zV,Green Light (feat. André 3000),John Legend,r&b,neo soul,2008,57,0.622,0.882,0.762,77.506,-5.59,0.119,0.0912,0.0,0.216,284187,Happy / Energetic,0.17523537879042458,en
72Bz4ciRZPBcVSw0nrZDHi,Do It Again,Pia Mia,pop,post-teen pop,2015,74,0.7120000000000001,0.564,0.411,95.95,-6.527,0.047,0.0266,0.0,0.0874,207747,Sad / Calm,0.30071653189577713,en
72C7aUQECOhNtnD0AC36ua,They Don't Know About Us,One Direction,pop,post-teen pop,2012,77,0.512,0.754,0.336,147.89,-6.0310000000000015,0.055,0.135,0.0,0.0881,201693,Intense / Dark,0.279679802955665,en
